filename,provider,vcpu(s),device,instance,iteration,accuracy,runtime(ms),price,normalized_runtime,cost_per_task,normalized_cost
amazon_4_cpu_ml-3.out,amazon,4,cpu,3,1,0.9876,240842.0,0.17,0.98047857002021,0.16668135690343572,0.9804785700202099
amazon_4_cpu_ml-3.out,amazon,4,cpu,3,2,0.9868,240499.0,0.17,0.979082201656233,0.16644397428155963,0.9790822016562329
amazon_4_cpu_ml-3.out,amazon,4,cpu,3,3,0.9852,243172.0,0.17,0.9899641043877501,0.16829389774591752,0.9899641043877498
amazon_4_cpu_ml-3.out,amazon,4,cpu,3,4,0.9868,245767.0,0.17,1.000528465625418,0.1700898391563211,1.0005284656254179
amazon_4_cpu_ml-3.out,amazon,4,cpu,3,5,0.9871,242634.0,0.17,0.9877738822891506,0.16792155998915562,0.9877738822891504
amazon_4_cpu_ml-3.out,amazon,4,cpu,3,6,0.9867,240765.0,0.17,0.9801650995711539,0.16662806692709617,0.9801650995711537
amazon_4_cpu_ml-3.out,amazon,4,cpu,3,7,0.9867,248309.0,0.17,1.0108770614890605,0.1718491004531403,1.0108770614890603
amazon_4_cpu_ml-3.out,amazon,4,cpu,3,8,0.9872,241933.0,0.17,0.9849200798893027,0.16743641358118147,0.9849200798893025
amazon_4_cpu_ml-3.out,amazon,4,cpu,3,9,0.9852,241989.0,0.17,0.9851480583977071,0.16747516992761022,0.9851480583977069
amazon_4_cpu_ml-3.out,amazon,4,cpu,3,10,0.9866,249307.0,0.17,1.0149399641924104,0.17253979391270977,1.0149399641924102
amazon_4_cpu_ml-2.out,amazon,4,cpu,2,1,0.9868,252828.0,0.17,1.0292741129083367,0.17497659919441724,1.0292741129083365
amazon_4_cpu_ml-2.out,amazon,4,cpu,2,2,0.9856,250307.0,0.17,1.019011008985346,0.17323187152750882,1.0190110089853457
amazon_4_cpu_ml-2.out,amazon,4,cpu,2,3,0.9876,252385.0,0.17,1.0274706400650662,0.17467000881106126,1.027470640065066
amazon_4_cpu_ml-2.out,amazon,4,cpu,2,4,0.987,251056.0,0.17,1.0220602215352548,0.17375023766099332,1.0220602215352546
amazon_4_cpu_ml-2.out,amazon,4,cpu,2,5,0.987,257620.0,0.17,1.0487825595560845,0.17829303512453437,1.0487825595560842
amazon_4_cpu_ml-2.out,amazon,4,cpu,2,6,0.9862,252614.0,0.17,1.0284029093226486,0.17482849458485025,1.0284029093226483
amazon_4_cpu_ml-2.out,amazon,4,cpu,2,7,0.9871,246123.0,0.17,1.0019777575717033,0.17033621878718957,1.001977757571703
amazon_4_cpu_ml-2.out,amazon,4,cpu,2,8,0.9863,251924.0,0.17,1.025593888415523,0.1743509610306389,1.0255938884155227
amazon_4_cpu_ml-2.out,amazon,4,cpu,2,9,0.9867,250794.0,0.17,1.0209936077995057,0.17356891332591598,1.0209936077995054
amazon_4_cpu_ml-2.out,amazon,4,cpu,2,10,0.9865,250932.0,0.17,1.0215554119809307,0.17366442003675822,1.0215554119809305
amazon_4_cpu_ml-1.out,amazon,4,cpu,1,1,0.9873,244805.0,0.17,0.996612120534614,0.1694240604908844,0.9966121205346139
amazon_4_cpu_ml-1.out,amazon,4,cpu,1,2,0.9866,246228.0,0.17,1.0024052172749613,0.17040888693674344,1.0024052172749611
