filename,provider,device,instance,iteration,normalized_peak,normalized_cost,task
amazon_gpu_alt-2.out,amazon,gpu,2,1,1.0077847166217369,1.0077847166217364,sp
amazon_gpu_alt-2.out,amazon,gpu,2,2,1.0071249041544537,1.0071249041544532,sp
amazon_gpu_alt-2.out,amazon,gpu,2,3,1.008777354846853,1.0087773548468526,sp
amazon_gpu_alt-2.out,amazon,gpu,2,4,1.007688372323417,1.0076883723234165,sp
amazon_gpu_alt-2.out,amazon,gpu,2,5,1.0130165039729373,1.013016503972937,sp
amazon_gpu_alt-2.out,amazon,gpu,2,6,1.0077467628072472,1.0077467628072467,sp
amazon_gpu_alt-2.out,amazon,gpu,2,7,1.0080854276134632,1.0080854276134628,sp
amazon_gpu_alt-2.out,amazon,gpu,2,8,1.0063366326227439,1.0063366326227434,sp
amazon_gpu_alt-2.out,amazon,gpu,2,9,1.0071073870093046,1.0071073870093044,sp
amazon_gpu_alt-2.out,amazon,gpu,2,10,1.012914320626234,1.0129143206262337,sp
amazon_gpu_alt-3.out,amazon,gpu,3,1,1.0081117033311868,1.0081117033311864,sp
amazon_gpu_alt-3.out,amazon,gpu,3,2,1.0063745864372338,1.0063745864372335,sp
amazon_gpu_alt-3.out,amazon,gpu,3,3,1.0073730637107328,1.0073730637107323,sp
amazon_gpu_alt-3.out,amazon,gpu,3,4,1.0072183289285823,1.0072183289285819,sp
amazon_gpu_alt-3.out,amazon,gpu,3,5,1.00798324426676,1.0079832442667596,sp
amazon_gpu_alt-3.out,amazon,gpu,3,6,1.0160206943660093,1.0160206943660088,sp
amazon_gpu_alt-3.out,amazon,gpu,3,7,1.0068066760175785,1.006806676017578,sp
amazon_gpu_alt-3.out,amazon,gpu,3,8,1.0143799217703762,1.0143799217703757,sp
amazon_gpu_alt-3.out,amazon,gpu,3,9,1.0037148998987606,1.0037148998987604,sp
amazon_gpu_alt-3.out,amazon,gpu,3,10,1.0045323666723858,1.0045323666723853,sp
amazon_gpu_alt-1.out,amazon,gpu,1,1,1.009165651564325,1.0091656515643248,sp
amazon_gpu_alt-1.out,amazon,gpu,1,2,1.0085992638711705,1.00859926387117,sp
amazon_gpu_alt-1.out,amazon,gpu,1,3,1.0078839804442483,1.0078839804442479,sp
amazon_gpu_alt-1.out,amazon,gpu,1,4,1.0064125402517232,1.0064125402517228,sp
amazon_gpu_alt-1.out,amazon,gpu,1,5,1.0079277733071212,1.0079277733071208,sp
amazon_gpu_alt-1.out,amazon,gpu,1,6,1.0083481847906999,1.0083481847906994,sp
amazon_gpu_alt-1.out,amazon,gpu,1,7,1.008196369532741,1.0081963695327405,sp
amazon_gpu_alt-1.out,amazon,gpu,1,8,1.0110253884743219,1.0110253884743214,sp
amazon_gpu_alt-1.out,amazon,gpu,1,9,1.0109202856034272,1.0109202856034267,sp
amazon_gpu_alt-1.out,amazon,gpu,1,10,1.0077642799523963,1.007764279952396,sp
amazon_gpu_ro-1.out,amazon,gpu,1,1,0.992687857027397,0.9926878570273967,sp
amazon_gpu_ro-1.out,amazon,gpu,1,2,0.992276204116393,0.9922762041163926,sp
amazon_gpu_ro-1.out,amazon,gpu,1,3,0.9916251502216844,0.991625150221684,sp
amazon_gpu_ro-1.out,amazon,gpu,1,4,0.9962204812991338,0.9962204812991333,sp
amazon_gpu_ro-1.out,amazon,gpu,1,5,0.992051400753646,0.9920514007536455,sp
amazon_gpu_ro-1.out,amazon,gpu,1,6,0.9897916890294111,0.9897916890294106,sp
amazon_gpu_ro-1.out,amazon,gpu,1,7,0.9938790228975364,0.993879022897536,sp
amazon_gpu_ro-1.out,amazon,gpu,1,8,0.9945826282276922,0.9945826282276918,sp
amazon_gpu_ro-1.out,amazon,gpu,1,9,0.9898150452229432,0.9898150452229428,sp
amazon_gpu_ro-1.out,amazon,gpu,1,10,0.9894296680296629,0.9894296680296625,sp
amazon_gpu_ro-2.out,amazon,gpu,2,1,0.9918382754876652,0.9918382754876648,sp
amazon_gpu_ro-2.out,amazon,gpu,2,2,0.9909624182302098,0.9909624182302094,sp
amazon_gpu_ro-2.out,amazon,gpu,2,3,0.9885713279173566,0.9885713279173561,sp
amazon_gpu_ro-2.out,amazon,gpu,2,4,0.9878764811597752,0.9878764811597749,sp
amazon_gpu_ro-2.out,amazon,gpu,2,5,0.9896924252068994,0.9896924252068989,sp
amazon_gpu_ro-2.out,amazon,gpu,2,6,0.9909740963269759,0.9909740963269755,sp
amazon_gpu_ro-2.out,amazon,gpu,2,7,0.9910383258591893,0.9910383258591888,sp
amazon_gpu_ro-2.out,amazon,gpu,2,8,0.9888457631913593,0.9888457631913589,sp
amazon_gpu_ro-2.out,amazon,gpu,2,9,0.9913361173267241,0.9913361173267237,sp
amazon_gpu_ro-2.out,amazon,gpu,2,10,0.9950351544773774,0.9950351544773771,sp
amazon_gpu_ro-3.out,amazon,gpu,3,1,0.9952132454530601,0.9952132454530597,sp
amazon_gpu_ro-3.out,amazon,gpu,3,2,0.9916368283184505,0.99163682831845,sp
amazon_gpu_ro-3.out,amazon,gpu,3,3,0.9910616820527214,0.991061682052721,sp
amazon_gpu_ro-3.out,amazon,gpu,3,4,0.989368358021641,0.9893683580216407,sp
amazon_gpu_ro-3.out,amazon,gpu,3,5,0.9896661494891759,0.9896661494891755,sp
