filename,provider,vcpu(s),device,instance,iteration,accuracy,runtime(ms),price,normalized_runtime,cost_per_task,normalized_cost
amazon_4_gpu_ml-1.out,amazon,4,gpu,1,1,0.987,114515.0,0.9,1.023551511762845,0.9211963605865606,1.0235515117628453
amazon_4_gpu_ml-1.out,amazon,4,gpu,1,2,0.9866,113274.0,0.9,1.0124592755833255,0.911213348024993,1.0124592755833257
amazon_4_gpu_ml-1.out,amazon,4,gpu,1,3,0.9864,113262.0,0.9,1.012352017860397,0.9111168160743573,1.0123520178603973
amazon_4_gpu_ml-1.out,amazon,4,gpu,1,4,0.987,112760.0,0.9,1.007865069784556,0.9070785628061003,1.0078650697845561
amazon_4_gpu_ml-1.out,amazon,4,gpu,1,5,0.9863,113149.0,0.9,1.011342007636154,0.9102078068725385,1.0113420076361541
amazon_4_gpu_ml-1.out,amazon,4,gpu,1,6,0.9874,113533.0,0.9,1.014774254769865,0.9132968292928786,1.0147742547698653
amazon_4_gpu_ml-1.out,amazon,4,gpu,1,7,0.9863,112963.0,0.9,1.0096795129307625,0.9087115616376863,1.0096795129307627
amazon_4_gpu_ml-1.out,amazon,4,gpu,1,8,0.9859,112419.0,0.9,1.0048171628246718,0.9043354465422047,1.004817162824672
amazon_4_gpu_ml-1.out,amazon,4,gpu,1,9,0.9855,113280.0,0.9,1.0125129044447898,0.9112616140003108,1.01251290444479
amazon_4_gpu_ml-1.out,amazon,4,gpu,1,10,0.9853,113406.0,0.9,1.0136391105355387,0.9122751994819849,1.013639110535539
amazon_4_gpu_ml-1.out,amazon,4,gpu,1,11,0.9862,114252.0,0.9,1.0212007800019962,0.9190807020017966,1.0212007800019964
amazon_4_gpu_ml-1.out,amazon,4,gpu,1,12,0.9872,112795.0,0.9,1.0081779048097639,0.9073601143287875,1.008177904809764
amazon_4_gpu_ml-1.out,amazon,4,gpu,1,13,0.9866,113452.0,0.9,1.014050265140098,0.9126452386260883,1.0140502651400982
amazon_4_gpu_ml-1.out,amazon,4,gpu,1,14,0.9872,114093.0,0.9,1.019779615173194,0.9178016536558745,1.0197796151731942
amazon_4_gpu_ml-1.out,amazon,4,gpu,1,15,0.9867,114710.0,0.9,1.0252944497604328,0.9227650047843896,1.025294449760433
amazon_4_gpu_ml-1.out,amazon,4,gpu,1,16,0.9866,115610.0,0.9,1.0333387789800683,0.9300049010820615,1.0333387789800685
amazon_4_gpu_ml-3.out,amazon,4,gpu,3,1,0.9859,111053.0,0.9,0.9926076586979806,0.8933468928281826,0.9926076586979808
amazon_4_gpu_ml-3.out,amazon,4,gpu,3,2,0.9871,110485.0,0.9,0.9875307931460329,0.8887777138314296,0.9875307931460331
amazon_4_gpu_ml-3.out,amazon,4,gpu,3,3,0.9865,110020.0,0.9,0.9833745563825544,0.885037100744299,0.9833745563825547
amazon_4_gpu_ml-3.out,amazon,4,gpu,3,4,0.9861,110211.0,0.9,0.9850817418058326,0.8865735676252494,0.9850817418058329
amazon_4_gpu_ml-3.out,amazon,4,gpu,3,5,0.986,110405.0,0.9,0.986815741659843,0.8881341674938587,0.9868157416598432
amazon_4_gpu_ml-3.out,amazon,4,gpu,3,6,0.9873,110614.0,0.9,0.9886838136675139,0.8898154323007625,0.9886838136675141
amazon_4_gpu_ml-3.out,amazon,4,gpu,3,7,0.987,110135.0,0.9,0.9844024428939524,0.8859621986045572,0.9844024428939526
amazon_4_gpu_ml-3.out,amazon,4,gpu,3,8,0.9865,110423.0,0.9,0.9869766282442357,0.8882789654198121,0.9869766282442359
amazon_4_gpu_ml-3.out,amazon,4,gpu,3,9,0.9865,110889.0,0.9,0.9911418031512914,0.8920276228361623,0.9911418031512917
amazon_4_gpu_ml-3.out,amazon,4,gpu,3,10,0.9864,109691.0,0.9,0.9804339071455989,0.8823905164310389,0.9804339071455991
amazon_4_gpu_ml-2.out,amazon,4,gpu,2,1,0.9866,110379.0,0.9,0.9865833499268313,0.8879250149341482,0.9865833499268316
amazon_4_gpu_ml-2.out,amazon,4,gpu,2,2,0.987,110342.0,0.9,0.9862526386144685,0.8876273747530217,0.9862526386144688
amazon_4_gpu_ml-2.out,amazon,4,gpu,2,3,0.9861,110459.0,0.9,0.9872984014130212,0.888568561271719,0.9872984014130214
amazon_4_gpu_ml-2.out,amazon,4,gpu,2,4,0.9861,110834.0,0.9,0.990650205254536,0.8915851847290823,0.9906502052545362
amazon_4_gpu_ml-2.out,amazon,4,gpu,2,5,0.986,110963.0,0.9,0.991803225776017,0.8926229031984153,0.9918032257760172
amazon_4_gpu_ml-2.out,amazon,4,gpu,2,6,0.9876,110428.0,0.9,0.9870213189621225,0.8883191870659103,0.9870213189621228
amazon_4_gpu_ml-2.out,amazon,4,gpu,2,7,0.9856,110032.0,0.9,0.983481814105483,0.8851336326949347,0.9834818141054833
amazon_4_gpu_ml-2.out,amazon,4,gpu,2,8,0.986,110053.0,0.9,0.9836695151206077,0.885302563608547,0.983669515120608
amazon_4_gpu_ml-2.out,amazon,4,gpu,2,9,0.986,111164.0,0.9,0.9935997926350689,0.894239813371562,0.9935997926350691
amazon_4_gpu_ml-2.out,amazon,4,gpu,2,10,0.9855,111629.0,0.9,0.9977560293985474,0.8979804264586926,0.9977560293985476
google_4_gpu_ml-1.out,google,4,gpu,1,1,0.9868,357188.0,0.481,3.1925976281146324,1.5356394591231382,1.706266065692376
google_4_gpu_ml-1.out,google,4,gpu,1,2,0.9868,353582.0,0.481,3.1603666823746264,1.5201363742221952,1.6890404158024395
google_4_gpu_ml-1.out,google,4,gpu,1,3,0.9866,377801.0,0.481,3.376839581675018,1.6242598387856835,1.8047331542063154
google_4_gpu_ml-1.out,google,4,gpu,1,4,0.9865,359168.0,0.481,3.2102951523978307,1.5441519683033564,1.715724409225952
google_4_gpu_ml-1.out,google,4,gpu,1,5,0.9864,361488.0,0.481,3.2310316454973353,1.5541262214842182,1.7268069127602428
google_4_gpu_ml-1.out,google,4,gpu,1,6,0.9865,371391.0,0.481,3.319546081344058,1.5967016651264918,1.774112961251658
google_4_gpu_ml-1.out,google,4,gpu,1,7,0.9866,359361.0,0.481,3.2120202141082634,1.5449817229860747,1.7166463588734167
google_4_gpu_ml-1.out,google,4,gpu,1,8,0.9863,355169.0,0.481,3.174551516231917,1.526959279307552,1.696621421452836
google_4_gpu_ml-1.out,google,4,gpu,1,9,0.9868,354925.0,0.481,3.172370609199038,1.5259102630247372,1.695455847805264
google_4_gpu_ml-1.out,google,4,gpu,1,10,0.9864,358039.0,0.481,3.2002039882989766,1.5392981183718077,1.7103312426353423
