filename,provider,vcpu(s),device,instance,iteration,events,runtime(ms),time_per_task(ms),price,normalized_runtime,cost_per_task,normalized_cost
google_8_cpu-3.out,google,8,cpu,3,3,144,10317.9,71.65208333333334,0.4176,0.4496001020956822,0.1877530026351569,1.1044294272656285
google_8_cpu-3.out,google,8,cpu,3,4,144,10311.0,71.60416666666667,0.4176,0.44929943619424295,0.18762744455471586,1.1036908503218577
google_8_cpu-3.out,google,8,cpu,3,5,144,10303.599999999999,71.55277777777776,0.4176,0.4489769829086413,0.18749278806264863,1.1028987533096977
google_8_cpu-3.out,google,8,cpu,3,6,144,10306.300000000001,71.57152777777779,0.4176,0.4490946347831177,0.18754191948542995,1.1031877616789993
google_8_cpu-3.out,google,8,cpu,3,7,144,10304.0,71.55555555555556,0.4176,0.4489944128159712,0.18750006679194958,1.1029415693644091
google_8_cpu-3.out,google,8,cpu,3,8,144,10442.4,72.51666666666667,0.4176,0.4550251607520863,0.19001850713007126,1.1177559242945365
google_8_cpu-3.out,google,8,cpu,3,9,144,10358.5,71.93402777777777,0.4176,0.4513692376896581,0.18849179365920124,1.1087752568188305
google_8_cpu-3.out,google,8,cpu,3,10,144,10305.8,71.56805555555555,0.4176,0.44907284739895525,0.18753282107380373,1.10313424161061
google_4_cpu-2.out,google,4,cpu,2,1,16,12106.3,756.64375,0.2088,4.747762959905466,0.9913329060282614,5.83137003546036
google_4_cpu-2.out,google,4,cpu,2,2,15,11984.8,798.9866666666666,0.2088,5.013454880792097,1.04680937910939,6.157702230055234
google_4_cpu-2.out,google,4,cpu,2,3,12,11207.5,933.9583333333334,0.2088,5.860370591966223,1.2236453796025475,7.1979139976620425
google_4_cpu-2.out,google,4,cpu,2,4,15,13122.7,874.8466666666667,0.2088,5.489458678006346,1.1461989719677252,6.742346893927794
google_4_cpu-2.out,google,4,cpu,2,5,16,12101.1,756.31875,0.2088,4.7457236607478785,0.9909071003641571,5.828865296259746
google_4_cpu-2.out,google,4,cpu,2,6,16,12909.5,806.84375,0.2088,5.0627562451698385,1.0571035039914622,6.218255905832129
google_4_cpu-2.out,google,4,cpu,2,7,15,12788.199999999999,852.5466666666666,0.2088,5.349531381962611,1.116982152553793,6.570483250316428
google_4_cpu-2.out,google,4,cpu,2,8,14,12175.9,869.7071428571428,0.2088,5.457209365467374,1.1394653155095877,6.702737150056397
google_4_cpu-2.out,google,4,cpu,2,9,15,12964.4,864.2933333333333,0.2088,5.423238974078922,1.132372297787679,6.66101351639811
google_4_cpu-2.out,google,4,cpu,2,10,16,12452.7,778.29375,0.2088,4.883611657634026,1.0196981141139847,5.998224200670497
google_4_cpu-3.out,google,4,cpu,3,1,16,12543.5,783.96875,0.2088,4.919220958308832,1.0271333360948842,6.041960800558141
google_4_cpu-3.out,google,4,cpu,3,2,16,11456.099999999999,716.0062499999999,0.2088,4.492772130623973,0.9380908208742857,5.518181299260503
google_4_cpu-3.out,google,4,cpu,3,3,13,12485.5,960.4230769230769,0.2088,6.026430682145756,1.258318726432034,7.401874861364903
google_4_cpu-3.out,google,4,cpu,3,4,15,13335.699999999999,889.0466666666666,0.2088,5.578560364276348,1.1648034040609017,6.851784729770008
google_4_cpu-3.out,google,4,cpu,3,5,13,12094.5,930.3461538461538,0.2088,5.837705008626955,1.2189128058013083,7.170075328242989
google_4_cpu-3.out,google,4,cpu,3,6,14,13329.5,952.1071428571429,0.2088,5.974250136498934,1.2474234285009775,7.33778487353516
google_4_cpu-3.out,google,4,cpu,3,7,15,12405.5,827.0333333333333,0.2088,5.189441169119749,1.0835553161122036,6.37385480066002
google_4_cpu-3.out,google,4,cpu,3,8,18,10949.3,608.2944444444444,0.2088,3.8169056865263298,0.7969699073466977,4.688058278509986
google_4_cpu-3.out,google,4,cpu,3,9,44,12051.3,273.8931818181818,0.2088,1.7186157998490266,0.3588469790084768,2.110864582402804
google_4_cpu-3.out,google,4,cpu,3,10,14,12949.199999999999,924.9428571428571,0.2088,5.803800582733936,1.211833561674846,7.128432715734386
google_4_cpu-1.out,google,4,cpu,1,1,22,11624.2,528.3727272727273,0.2088,3.3154155619070234,0.6922587693261866,4.072110407801096
google_4_cpu-1.out,google,4,cpu,1,2,43,10613.9,246.83488372093024,0.2088,1.548831293647513,0.32339597411360077,1.902329259491769
google_4_cpu-1.out,google,4,cpu,1,3,20,13323.1,666.155,0.2088,4.1799671702248595,0.8727771451429507,5.133983206723238
google_4_cpu-1.out,google,4,cpu,1,4,12,11105.1,925.4250000000001,0.2088,5.806825916649039,1.2124652513963194,7.132148537625407
google_4_cpu-1.out,google,4,cpu,1,5,15,12394.8,826.3199999999999,0.2088,5.1849651689174525,1.0826207272699642,6.368357219235082
google_4_cpu-1.out,google,4,cpu,1,6,15,12884.3,858.9533333333333,0.2088,5.389731720228091,1.1253759831836254,6.61985872460956
google_4_cpu-1.out,google,4,cpu,1,7,15,12382.099999999999,825.4733333333332,0.2088,5.179652533163326,1.0815114489245026,6.361832052497072
google_4_cpu-1.out,google,4,cpu,1,8,14,12819.699999999999,915.6928571428571,0.2088,5.745758991325659,1.1997144773887978,7.0571439846399855
google_4_cpu-1.out,google,4,cpu,1,9,16,12126.8,757.925,0.2088,4.755802504661342,0.9930115629732883,5.841244488078165
google_4_cpu-1.out,google,4,cpu,1,10,16,11835.3,739.70625,0.2088,4.641484099961934,0.9691418800720519,5.700834588659128
amazon_4_cpu-3.out,amazon,4,cpu,3,1,64,10200.300000000001,159.37968750000002,0.17,1.000070346016614,0.1700119588228244,1.000070346016614
amazon_4_cpu-3.out,amazon,4,cpu,3,2,64,10190.9,159.2328125,0.17,0.99914873966655,0.16985528574331352,0.9991487396665498
amazon_4_cpu-3.out,amazon,4,cpu,3,3,64,10198.4,159.35,0.17,0.9998840638820264,0.1699802908599445,0.9998840638820263
amazon_4_cpu-3.out,amazon,4,cpu,3,4,64,10197.0,159.328125,0.17,0.9997468033618042,0.16995695657150672,0.999746803361804
amazon_4_cpu-3.out,amazon,4,cpu,3,5,64,10198.3,159.3484375,0.17,0.9998742595591534,0.1699786241250561,0.9998742595591533
